airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,HAV,,,MUHA,SABE,,1234567,21:15,12:06,,3713,891,J,,,,,,,,1,A21N;A306;A310;A332;A333;A339;A346;A359;A388;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;IL96;MD11,,,,
CRN,1001,HAV,,,SABE,MUHA,,1234567,22:45,13:36,,3713,891,J,,,,,,,,1,A21N;A306;A310;A332;A333;A339;A346;A359;A388;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;IL96;MD11,,,,
CRN,1002,HAV,CRF,,MUHA,SABE,,1234567,06:30,21:21,,3713,891,F,,,,,,,,1,A225;A30F;A332F;A333F;B48F;B74F;B77F;MD1F,,,,
CRN,1003,HAV,CRF,,SABE,MUHA,,1234567,15:15,06:06,,3713,891,F,,,,,,,,1,A225;A30F;A332F;A333F;B48F;B74F;B77F;MD1F,,,,
CRN,1004,HAV,,,MUHA,SAEZ,,1234567,09:15,00:09,,3725,894,J,,,,,,,,1,A21N;A306;A310;A332;A333;A339;A346;A359;A388;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;IL96;MD11,,,,
CRN,1005,HAV,,,SAEZ,MUHA,,1234567,13:15,04:09,,3725,894,J,,,,,,,,1,A21N;A306;A310;A332;A333;A339;A346;A359;A388;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;IL96;MD11,,,,
CRN,1006,HAV,CRF,,MUHA,SAEZ,,1234567,08:30,23:24,,3725,894,F,,,,,,,,1,A225;A30F;A332F;A333F;B48F;B74F;B77F;MD1F,,,,
CRN,1007,HAV,CRF,,SAEZ,MUHA,,1234567,21:00,11:54,,3725,894,F,,,,,,,,1,A225;A30F;A332F;A333F;B48F;B74F;B77F;MD1F,,,,
CRN,1008,HAV,,,MUHA,SACO,,1234567,17:45,07:26,,3422,821,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A332;A333;A339;A346;A359;A388;B38M;B736;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;C750;IL96;MD11,,,,
CRN,1009,HAV,,,SACO,MUHA,,1234567,21:15,10:56,,3422,821,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A332;A333;A339;A346;A359;A388;B38M;B736;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;C750;IL96;MD11,,,,
