airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,BQN,,,TJBQ,SKBO,,1234567,11:30,14:34,,924,184,J,,,,,,,,1,,,,,
CRN,1001,BQN,,,SKBO,TJBQ,,1234567,10:45,13:49,,924,184,J,,,,,,,,1,,,,,
CRN,1002,BQN,,,TJBQ,SKBO,,1234567,21:30,00:34,,924,184,F,,,,,,,,1,,,,,
CRN,1003,BQN,,,SKBO,TJBQ,,1234567,14:30,17:34,,924,184,F,,,,,,,,1,,,,,
CRN,1004,BQN,,,TJBQ,EHAM,,1234567,16:15,05:08,,3867,773,J,,,,,,,,1,,,,,
CRN,1005,BQN,,,EHAM,TJBQ,,1234567,13:15,02:08,,3867,773,J,,,,,,,,1,,,,,
CRN,1006,BQN,,,TJBQ,EHAM,,1234567,21:45,10:38,,3867,773,F,,,,,,,,1,,,,,
CRN,1007,BQN,,,EHAM,TJBQ,,1234567,14:30,03:23,,3867,773,F,,,,,,,,1,,,,,
CRN,1008,BQN,,,TJBQ,MDSD,,1234567,13:15,13:43,,144,28,J,,,,,,,,1,,,,,
CRN,1009,BQN,,,MDSD,TJBQ,,1234567,08:45,09:13,,144,28,J,,,,,,,,1,,,,,
CRN,1010,BQN,,,TJBQ,MDSD,,1234567,20:30,20:58,,144,28,F,,,,,,,,1,,,,,
CRN,1011,BQN,,,MDSD,TJBQ,,1234567,17:45,18:13,,144,28,F,,,,,,,,1,,,,,
CRN,1012,BQN,,,TJBQ,TTPP,,1234567,21:45,23:41,,581,116,J,,,,,,,,1,,,,,
CRN,1013,BQN,,,TTPP,TJBQ,,1234567,06:30,08:26,,581,116,J,,,,,,,,1,,,,,
CRN,1014,BQN,,,TJBQ,TTPP,,1234567,08:30,10:26,,581,116,F,,,,,,,,1,,,,,
CRN,1015,BQN,,,TTPP,TJBQ,,1234567,17:00,18:56,,581,116,F,,,,,,,,1,,,,,
CRN,1016,BQN,,,TJBQ,MDST,,1234567,07:45,08:25,,204,40,J,,,,,,,,1,,,,,
CRN,1017,BQN,,,MDST,TJBQ,,1234567,21:15,21:55,,204,40,J,,,,,,,,1,,,,,
CRN,1018,BQN,,,TJBQ,MDST,,1234567,09:00,09:40,,204,40,F,,,,,,,,1,,,,,
CRN,1019,BQN,,,MDST,TJBQ,,1234567,07:45,08:25,,204,40,F,,,,,,,,1,,,,,
CRN,1020,BQN,,,TJBQ,TJCP,,1234567,20:15,20:35,,104,20,J,,,,,,,,1,,,,,
CRN,1021,BQN,,,TJCP,TJBQ,,1234567,06:45,07:05,,104,20,J,,,,,,,,1,,,,,
CRN,1022,BQN,,,TJBQ,TJCP,,1234567,20:30,20:50,,104,20,F,,,,,,,,1,,,,,
CRN,1023,BQN,,,TJCP,TJBQ,,1234567,08:45,09:05,,104,20,F,,,,,,,,1,,,,,
CRN,1024,BQN,,,TJBQ,TJMZ,,1234567,14:45,14:47,,14,2,J,,,,,,,,1,,,,,
CRN,1025,BQN,,,TJMZ,TJBQ,,1234567,09:15,09:17,,14,2,J,,,,,,,,1,,,,,
CRN,1026,BQN,,,TJBQ,TJMZ,,1234567,07:00,07:02,,14,2,F,,,,,,,,1,,,,,
CRN,1027,BQN,,,TJMZ,TJBQ,,1234567,11:30,11:32,,14,2,F,,,,,,,,1,,,,,
CRN,1028,BQN,,,TJBQ,TJPS,,1234567,18:45,18:53,,43,8,J,,,,,,,,1,,,,,
CRN,1029,BQN,,,TJPS,TJBQ,,1234567,10:00,10:08,,43,8,J,,,,,,,,1,,,,,
CRN,1030,BQN,,,TJBQ,TJPS,,1234567,18:30,18:38,,43,8,F,,,,,,,,1,,,,,
CRN,1031,BQN,,,TJPS,TJBQ,,1234567,16:15,16:23,,43,8,F,,,,,,,,1,,,,,
CRN,1032,BQN,,,TJBQ,TJRV,,1234567,18:00,18:17,,85,17,J,,,,,,,,1,,,,,
CRN,1033,BQN,,,TJRV,TJBQ,,1234567,21:30,21:47,,85,17,J,,,,,,,,1,,,,,
CRN,1034,BQN,,,TJBQ,TJRV,,1234567,17:30,17:47,,85,17,F,,,,,,,,1,,,,,
CRN,1035,BQN,,,TJRV,TJBQ,,1234567,21:30,21:47,,85,17,F,,,,,,,,1,,,,,
CRN,1036,BQN,,,TJBQ,TJSJ,,1234567,22:00,22:12,,64,12,J,,,,,,,,1,,,,,
