airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,MAZ,,,TJMZ,TJPS,,1234567,06:15,06:22,,36,7,J,,,,,,,,1,,,,,
CRN,1001,MAZ,,,TJPS,TJMZ,,1234567,11:15,11:22,,36,7,J,,,,,,,,1,,,,,
CRN,1002,MAZ,,,TJMZ,TJPS,,1234567,08:30,08:37,,36,7,F,,,,,,,,1,,,,,
CRN,1003,MAZ,,,TJPS,TJMZ,,1234567,21:45,21:52,,36,7,F,,,,,,,,1,,,,,
CRN,1004,MAZ,,,TJMZ,TJRV,,1234567,08:00,08:17,,85,17,J,,,,,,,,1,,,,,
CRN,1005,MAZ,,,TJRV,TJMZ,,1234567,20:00,20:17,,85,17,J,,,,,,,,1,,,,,
CRN,1006,MAZ,,,TJMZ,TJRV,,1234567,21:45,22:02,,85,17,F,,,,,,,,1,,,,,
CRN,1007,MAZ,,,TJRV,TJMZ,,1234567,16:45,17:02,,85,17,F,,,,,,,,1,,,,,
CRN,1008,MAZ,,,TJMZ,TJSJ,,1234567,10:00,10:13,,66,13,J,,,,,,,,1,,,,,
CRN,1009,MAZ,,,TJSJ,TJMZ,,1234567,08:00,08:13,,66,13,J,,,,,,,,1,,,,,
CRN,1010,MAZ,,,TJMZ,TJSJ,,1234567,18:45,18:58,,66,13,F,,,,,,,,1,,,,,
CRN,1011,MAZ,,,TJSJ,TJMZ,,1234567,15:00,15:13,,66,13,F,,,,,,,,1,,,,,
CRN,1012,MAZ,,,TJMZ,TJVQ,,1234567,21:30,21:49,,98,19,J,,,,,,,,1,,,,,
CRN,1013,MAZ,,,TJVQ,TJMZ,,1234567,17:00,17:19,,98,19,J,,,,,,,,1,,,,,
CRN,1014,MAZ,,,TJMZ,TJVQ,,1234567,09:15,09:34,,98,19,F,,,,,,,,1,,,,,
CRN,1015,MAZ,,,TJVQ,TJMZ,,1234567,10:45,11:04,,98,19,F,,,,,,,,1,,,,,
CRN,1016,MAZ,,,TJMZ,TIST,,1234567,22:30,22:54,,124,24,J,,,,,,,,1,,,,,
CRN,1017,MAZ,,,TIST,TJMZ,,1234567,10:00,10:24,,124,24,J,,,,,,,,1,,,,,
CRN,1018,MAZ,,,TJMZ,TIST,,1234567,16:30,16:54,,124,24,F,,,,,,,,1,,,,,
CRN,1019,MAZ,,,TIST,TJMZ,,1234567,14:00,14:24,,124,24,F,,,,,,,,1,,,,,
CRN,1020,MAZ,,,TJMZ,TISX,,1234567,07:45,08:12,,138,27,J,,,,,,,,1,,,,,
CRN,1021,MAZ,,,TISX,TJMZ,,1234567,07:45,08:12,,138,27,J,,,,,,,,1,,,,,
CRN,1022,MAZ,,,TJMZ,TISX,,1234567,13:00,13:27,,138,27,F,,,,,,,,1,,,,,
CRN,1023,MAZ,,,TISX,TJMZ,,1234567,12:00,12:27,,138,27,F,,,,,,,,1,,,,,
CRN,1024,MAZ,,,TJMZ,TUPJ,,1234567,15:15,15:44,,148,29,J,,,,,,,,1,,,,,
CRN,1025,MAZ,,,TUPJ,TJMZ,,1234567,19:15,19:44,,148,29,J,,,,,,,,1,,,,,
CRN,1026,MAZ,,,TJMZ,TUPJ,,1234567,17:15,17:44,,148,29,F,,,,,,,,1,,,,,
CRN,1027,MAZ,,,TUPJ,TJMZ,,1234567,14:15,14:44,,148,29,F,,,,,,,,1,,,,,
CRN,1028,MAZ,,,TJMZ,TUPW,,1234567,15:45,16:16,,155,31,J,,,,,,,,1,,,,,
CRN,1029,MAZ,,,TUPW,TJMZ,,1234567,21:30,22:01,,155,31,J,,,,,,,,1,,,,,
CRN,1030,MAZ,,,TJMZ,TUPW,,1234567,16:30,17:01,,155,31,F,,,,,,,,1,,,,,
CRN,1031,MAZ,,,TUPW,TJMZ,,1234567,11:30,12:01,,155,31,F,,,,,,,,1,,,,,
CRN,1032,MAZ,,,TJMZ,TKPN,,1234567,12:00,12:53,,268,53,J,,,,,,,,1,,,,,
CRN,1033,MAZ,,,TKPN,TJMZ,,1234567,14:15,15:08,,268,53,J,,,,,,,,1,,,,,
CRN,1034,MAZ,,,TJMZ,TKPN,,1234567,11:00,11:53,,268,53,F,,,,,,,,1,,,,,
CRN,1035,MAZ,,,TKPN,TJMZ,,1234567,21:00,21:53,,268,53,F,,,,,,,,1,,,,,
CRN,1036,MAZ,,,TJMZ,TQPF,,1234567,16:45,17:31,,233,46,J,,,,,,,,1,,,,,
CRN,1037,MAZ,,,TQPF,TJMZ,,1234567,08:30,09:16,,233,46,J,,,,,,,,1,,,,,
CRN,1038,MAZ,,,TJMZ,TQPF,,1234567,12:00,12:46,,233,46,F,,,,,,,,1,,,,,
CRN,1039,MAZ,,,TQPF,TJMZ,,1234567,07:30,08:16,,233,46,F,,,,,,,,1,,,,,
CRN,1040,MAZ,,,TJMZ,TFFJ,,1234567,15:30,16:19,,246,49,J,,,,,,,,1,,,,,
CRN,1041,MAZ,,,TFFJ,TJMZ,,1234567,13:00,13:49,,246,49,J,,,,,,,,1,,,,,
CRN,1042,MAZ,,,TJMZ,TFFJ,,1234567,08:00,08:49,,246,49,F,,,,,,,,1,,,,,
CRN,1043,MAZ,,,TFFJ,TJMZ,,1234567,19:45,20:34,,246,49,F,,,,,,,,1,,,,,
