airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,NRR,,,TJRV,TJSJ,,1234567,19:15,19:19,,23,4,J,,,,,,,,1,,,,,
CRN,1001,NRR,,,TJSJ,TJRV,,1234567,12:00,12:04,,23,4,J,,,,,,,,1,,,,,
CRN,1002,NRR,,,TJRV,TJSJ,,1234567,19:45,19:49,,23,4,F,,,,,,,,1,,,,,
CRN,1003,NRR,,,TJSJ,TJRV,,1234567,15:00,15:04,,23,4,F,,,,,,,,1,,,,,
CRN,1004,NRR,,,TJRV,TJVQ,,1234567,19:45,19:47,,14,2,J,,,,,,,,1,,,,,
CRN,1005,NRR,,,TJVQ,TJRV,,1234567,05:30,05:32,,14,2,J,,,,,,,,1,,,,,
CRN,1006,NRR,,,TJRV,TJVQ,,1234567,05:00,05:02,,14,2,F,,,,,,,,1,,,,,
CRN,1007,NRR,,,TJVQ,TJRV,,1234567,11:45,11:47,,14,2,F,,,,,,,,1,,,,,
CRN,1008,NRR,,,TJRV,TIST,,1234567,08:45,08:52,,38,7,J,,,,,,,,1,,,,,
CRN,1009,NRR,,,TIST,TJRV,,1234567,05:00,05:07,,38,7,J,,,,,,,,1,,,,,
CRN,1010,NRR,,,TJRV,TIST,,1234567,07:45,07:52,,38,7,F,,,,,,,,1,,,,,
CRN,1011,NRR,,,TIST,TJRV,,1234567,19:30,19:37,,38,7,F,,,,,,,,1,,,,,
CRN,1012,NRR,,,TJRV,TISX,,1234567,06:30,06:41,,58,11,J,,,,,,,,1,,,,,
CRN,1013,NRR,,,TISX,TJRV,,1234567,17:15,17:26,,58,11,J,,,,,,,,1,,,,,
CRN,1014,NRR,,,TJRV,TISX,,1234567,15:45,15:56,,58,11,F,,,,,,,,1,,,,,
CRN,1015,NRR,,,TISX,TJRV,,1234567,18:30,18:41,,58,11,F,,,,,,,,1,,,,,
CRN,1016,NRR,,,TJRV,TUPJ,,1234567,21:00,21:12,,63,12,J,,,,,,,,1,,,,,
CRN,1017,NRR,,,TUPJ,TJRV,,1234567,15:15,15:27,,63,12,J,,,,,,,,1,,,,,
CRN,1018,NRR,,,TJRV,TUPJ,,1234567,08:15,08:27,,63,12,F,,,,,,,,1,,,,,
CRN,1019,NRR,,,TUPJ,TJRV,,1234567,10:45,10:57,,63,12,F,,,,,,,,1,,,,,
CRN,1020,NRR,,,TJRV,TUPW,,1234567,05:45,05:59,,70,14,J,,,,,,,,1,,,,,
CRN,1021,NRR,,,TUPW,TJRV,,1234567,09:30,09:44,,70,14,J,,,,,,,,1,,,,,
CRN,1022,NRR,,,TJRV,TUPW,,1234567,17:15,17:29,,70,14,F,,,,,,,,1,,,,,
CRN,1023,NRR,,,TUPW,TJRV,,1234567,16:00,16:14,,70,14,F,,,,,,,,1,,,,,
CRN,1024,NRR,,,TJRV,TKPN,,1234567,18:45,19:22,,185,37,J,,,,,,,,1,,,,,
CRN,1025,NRR,,,TKPN,TJRV,,1234567,15:00,15:37,,185,37,J,,,,,,,,1,,,,,
CRN,1026,NRR,,,TJRV,TKPN,,1234567,17:45,18:22,,185,37,F,,,,,,,,1,,,,,
CRN,1027,NRR,,,TKPN,TJRV,,1234567,16:00,16:37,,185,37,F,,,,,,,,1,,,,,
CRN,1028,NRR,,,TJRV,TQPF,,1234567,06:15,06:44,,147,29,J,,,,,,,,1,,,,,
CRN,1029,NRR,,,TQPF,TJRV,,1234567,11:45,12:14,,147,29,J,,,,,,,,1,,,,,
CRN,1030,NRR,,,TJRV,TQPF,,1234567,09:15,09:44,,147,29,F,,,,,,,,1,,,,,
CRN,1031,NRR,,,TQPF,TJRV,,1234567,08:00,08:29,,147,29,F,,,,,,,,1,,,,,
CRN,1032,NRR,,,TJRV,TFFJ,,1234567,19:45,20:17,,160,32,J,,,,,,,,1,,,,,
CRN,1033,NRR,,,TFFJ,TJRV,,1234567,19:45,20:17,,160,32,J,,,,,,,,1,,,,,
CRN,1034,NRR,,,TJRV,TFFJ,,1234567,14:45,15:17,,160,32,F,,,,,,,,1,,,,,
CRN,1035,NRR,,,TFFJ,TJRV,,1234567,17:15,17:47,,160,32,F,,,,,,,,1,,,,,
