airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,SJU,,,TJSJ,TJVQ,,1234567,16:45,16:52,,38,7,J,,,,,,,,1,,,,,
CRN,1001,SJU,,,TJVQ,TJSJ,,1234567,10:15,10:22,,38,7,J,,,,,,,,1,,,,,
CRN,1002,SJU,,,TJSJ,TJVQ,,1234567,07:00,07:07,,38,7,F,,,,,,,,1,,,,,
CRN,1003,SJU,,,TJVQ,TJSJ,,1234567,10:45,10:52,,38,7,F,,,,,,,,1,,,,,
CRN,1004,SJU,,,TJSJ,TIST,,1234567,16:30,16:41,,58,11,J,,,,,,,,1,,,,,
CRN,1005,SJU,,,TIST,TJSJ,,1234567,16:15,16:26,,58,11,J,,,,,,,,1,,,,,
CRN,1006,SJU,,,TJSJ,TIST,,1234567,12:00,12:11,,58,11,F,,,,,,,,1,,,,,
CRN,1007,SJU,,,TIST,TJSJ,,1234567,21:45,21:56,,58,11,F,,,,,,,,1,,,,,
CRN,1008,SJU,,,TJSJ,TISX,,1234567,19:45,20:01,,81,16,J,,,,,,,,1,,,,,
CRN,1009,SJU,,,TISX,TJSJ,,1234567,09:15,09:31,,81,16,J,,,,,,,,1,,,,,
CRN,1010,SJU,,,TJSJ,TISX,,1234567,12:15,12:31,,81,16,F,,,,,,,,1,,,,,
CRN,1011,SJU,,,TISX,TJSJ,,1234567,10:00,10:16,,81,16,F,,,,,,,,1,,,,,
CRN,1012,SJU,,,TJSJ,TUPJ,,1234567,09:00,09:16,,83,16,J,,,,,,,,1,,,,,
CRN,1013,SJU,,,TUPJ,TJSJ,,1234567,15:00,15:16,,83,16,J,,,,,,,,1,,,,,
CRN,1014,SJU,,,TJSJ,TUPJ,,1234567,12:45,13:01,,83,16,F,,,,,,,,1,,,,,
CRN,1015,SJU,,,TUPJ,TJSJ,,1234567,15:45,16:01,,83,16,F,,,,,,,,1,,,,,
CRN,1016,SJU,,,TJSJ,TUPW,,1234567,16:30,16:47,,89,17,J,,,,,,,,1,,,,,
CRN,1017,SJU,,,TUPW,TJSJ,,1234567,22:00,22:17,,89,17,J,,,,,,,,1,,,,,
CRN,1018,SJU,,,TJSJ,TUPW,,1234567,20:30,20:47,,89,17,F,,,,,,,,1,,,,,
CRN,1019,SJU,,,TUPW,TJSJ,,1234567,11:00,11:17,,89,17,F,,,,,,,,1,,,,,
CRN,1020,SJU,,,TJSJ,TKPN,,1234567,14:15,14:56,,208,41,J,,,,,,,,1,,,,,
CRN,1021,SJU,,,TKPN,TJSJ,,1234567,07:45,08:26,,208,41,J,,,,,,,,1,,,,,
CRN,1022,SJU,,,TJSJ,TKPN,,1234567,18:15,18:56,,208,41,F,,,,,,,,1,,,,,
CRN,1023,SJU,,,TKPN,TJSJ,,1234567,15:15,15:56,,208,41,F,,,,,,,,1,,,,,
CRN,1024,SJU,,,TJSJ,TQPF,,1234567,05:15,05:48,,168,33,J,,,,,,,,1,,,,,
CRN,1025,SJU,,,TQPF,TJSJ,,1234567,12:00,12:33,,168,33,J,,,,,,,,1,,,,,
CRN,1026,SJU,,,TJSJ,TQPF,,1234567,13:45,14:18,,168,33,F,,,,,,,,1,,,,,
CRN,1027,SJU,,,TQPF,TJSJ,,1234567,13:30,14:03,,168,33,F,,,,,,,,1,,,,,
CRN,1028,SJU,,,TJSJ,TFFJ,,1234567,16:00,16:36,,182,36,J,,,,,,,,1,,,,,
CRN,1029,SJU,,,TFFJ,TJSJ,,1234567,22:45,23:21,,182,36,J,,,,,,,,1,,,,,
CRN,1030,SJU,,,TJSJ,TFFJ,,1234567,17:45,18:21,,182,36,F,,,,,,,,1,,,,,
CRN,1031,SJU,,,TFFJ,TJSJ,,1234567,19:45,20:21,,182,36,F,,,,,,,,1,,,,,
