airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,VQS,,,TJVQ,TIST,,1234567,11:15,11:20,,28,5,J,,,,,,,,1,,,,,
CRN,1001,VQS,,,TIST,TJVQ,,1234567,06:45,06:50,,28,5,J,,,,,,,,1,,,,,
CRN,1002,VQS,,,TJVQ,TIST,,1234567,07:45,07:50,,28,5,F,,,,,,,,1,,,,,
CRN,1003,VQS,,,TIST,TJVQ,,1234567,09:00,09:05,,28,5,F,,,,,,,,1,,,,,
CRN,1004,VQS,,,TJVQ,TISX,,1234567,06:45,06:53,,43,8,J,,,,,,,,1,,,,,
CRN,1005,VQS,,,TISX,TJVQ,,1234567,16:45,16:53,,43,8,J,,,,,,,,1,,,,,
CRN,1006,VQS,,,TJVQ,TISX,,1234567,21:00,21:08,,43,8,F,,,,,,,,1,,,,,
CRN,1007,VQS,,,TISX,TJVQ,,1234567,12:00,12:08,,43,8,F,,,,,,,,1,,,,,
CRN,1008,VQS,,,TJVQ,TUPJ,,1234567,15:15,15:25,,53,10,J,,,,,,,,1,,,,,
CRN,1009,VQS,,,TUPJ,TJVQ,,1234567,13:45,13:55,,53,10,J,,,,,,,,1,,,,,
CRN,1010,VQS,,,TJVQ,TUPJ,,1234567,07:30,07:40,,53,10,F,,,,,,,,1,,,,,
CRN,1011,VQS,,,TUPJ,TJVQ,,1234567,09:30,09:40,,53,10,F,,,,,,,,1,,,,,
CRN,1012,VQS,,,TJVQ,TUPW,,1234567,14:00,14:12,,60,12,J,,,,,,,,1,,,,,
CRN,1013,VQS,,,TUPW,TJVQ,,1234567,06:00,06:12,,60,12,J,,,,,,,,1,,,,,
CRN,1014,VQS,,,TJVQ,TUPW,,1234567,09:00,09:12,,60,12,F,,,,,,,,1,,,,,
CRN,1015,VQS,,,TUPW,TJVQ,,1234567,20:00,20:12,,60,12,F,,,,,,,,1,,,,,
CRN,1016,VQS,,,TJVQ,TKPN,,1234567,21:30,22:04,,170,34,J,,,,,,,,1,,,,,
CRN,1017,VQS,,,TKPN,TJVQ,,1234567,09:45,10:19,,170,34,J,,,,,,,,1,,,,,
CRN,1018,VQS,,,TJVQ,TKPN,,1234567,21:15,21:49,,170,34,F,,,,,,,,1,,,,,
CRN,1019,VQS,,,TKPN,TJVQ,,1234567,19:00,19:34,,170,34,F,,,,,,,,1,,,,,
CRN,1020,VQS,,,TJVQ,TQPF,,1234567,16:15,16:42,,135,27,J,,,,,,,,1,,,,,
CRN,1021,VQS,,,TQPF,TJVQ,,1234567,10:30,10:57,,135,27,J,,,,,,,,1,,,,,
CRN,1022,VQS,,,TJVQ,TQPF,,1234567,10:00,10:27,,135,27,F,,,,,,,,1,,,,,
CRN,1023,VQS,,,TQPF,TJVQ,,1234567,17:30,17:57,,135,27,F,,,,,,,,1,,,,,
CRN,1024,VQS,,,TJVQ,TFFJ,,1234567,17:45,18:14,,147,29,J,,,,,,,,1,,,,,
CRN,1025,VQS,,,TFFJ,TJVQ,,1234567,12:45,13:14,,147,29,J,,,,,,,,1,,,,,
CRN,1026,VQS,,,TJVQ,TFFJ,,1234567,11:45,12:14,,147,29,F,,,,,,,,1,,,,,
CRN,1027,VQS,,,TFFJ,TJVQ,,1234567,06:30,06:59,,147,29,F,,,,,,,,1,,,,,
