airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,8200,OKDS,,1,FBAB,FBCO,,1234567,18:30,18:46,,35,16,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8201,OKDS,,2,FBCO,FBDT,,1234567,05:45,05:56,,24,11,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8202,OKDS,,3,FBDT,FBGU,,1234567,14:15,14:39,,53,24,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8203,OKDS,,4,FBGU,FBHU,,1234567,10:00,10:09,,20,9,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8204,OKDS,,5,FBHU,FBJA,,1234567,10:15,10:18,,7,3,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8205,OKDS,,6,FBJA,FBKI,,1234567,06:00,06:14,,31,14,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8206,OKDS,,7,FBKI,FBKK,,1234567,16:00,16:04,,9,4,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8207,OKDS,,8,FBKK,FBKR,,1234567,20:30,20:56,,57,26,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8208,OKDS,,9,FBKR,FBMB,,1234567,13:00,13:25,,56,25,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8209,OKDS,,10,FBMB,FBNB,,1234567,19:15,19:22,,16,7,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8210,OKDS,,11,FBNB,FBOM,,1234567,18:45,18:57,,28,12,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8211,OKDS,,12,FBOM,FBXB,,1234567,15:15,15:32,,37,17,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8212,OKDS,,13,FBXB,FBXG,,1234567,11:45,11:58,,29,13,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
CRN,8213,OKDS,,14,FBXG,FBXI,,1234567,22:15,22:27,,28,12,J,,,850,,<p>Okavango Delta Safari Wings</p>,,,0,H60;DHC6;SH36;SH33;TRIS;BN2P;GA8;MI8;AN2;C172;C208;AN24;AN26;DH8D;KODI;PC12,,,,
