airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,8190,SFET,CRF,1,EHAM,KORD,,1234567,18:30,08:46,,3567,856,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;A225;A30F;B48F;B74F;B75F;B77F;MD1F,,,,
CRN,8191,SFET,CRF,2,KORD,PANC,,1234567,06:15,16:06,,2465,591,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F,,,,
CRN,8192,SFET,CRF,3,PANC,ZSPD,,1234567,09:45,00:40,,3733,895,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;A225;A30F;B48F;B74F;B77F;MD1F,,,,
CRN,8193,SFET,CRF,4,ZSPD,RKSI,,1234567,15:45,17:31,,443,106,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;AN26F;SH36F;SH33F;A124;AT76F;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8194,SFET,CRF,5,RKSI,VHHH,,1234567,12:15,16:42,,1116,267,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8195,SFET,CRF,6,VHHH,RCTP,,1234567,15:15,16:59,,434,104,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;AN26F;SH36F;SH33F;A124;AT76F;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8196,SFET,CRF,7,RCTP,VABB,,1234567,13:15,00:02,,2699,647,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F,,,,
CRN,8197,SFET,CRF,8,VABB,OMAA,,1234567,07:30,11:45,,1063,255,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;AN26F;A124;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8198,SFET,CRF,9,OMAA,FAOR,,1234567,14:30,04:05,,3398,815,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A225;A30F;B48F;B74F;B75F;B77F;MD1F,,,,
CRN,8199,SFET,CRF,10,FAOR,HKJK,,1234567,17:15,23:32,,1571,377,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8200,SFET,CRF,11,HKJK,OEJN,,1234567,22:00,03:32,,1386,332,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8201,SFET,CRF,12,OEJN,OEDF,,1234567,17:45,20:20,,649,155,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;AN26F;SH36F;A124;AT76F;E190F;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F;IL18F,,,,
CRN,8202,SFET,CRF,13,OEDF,EDDF,,1234567,21:15,06:40,,2356,565,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F,,,,
CRN,8203,SFET,CRF,14,EDDF,GVAC,,1234567,12:15,22:17,,2509,602,F,,,1050,,<p>Sky Freight Expedition</p>,,,0,A333F;B738F;A124;A225;A30F;B48F;B74F;B75F;B76F;B77F;MD1F,,,,
