TJSJ-SJU,MUHA-HAV
MUHA-HAV,MPTO-PTY
MPTO-PTY,SKBO-BOG
SKBO-BOG,MYNN-NAS
MYNN-NAS,CYUL-YUL
CYUL-YUL,CYYR-YYR
CYYR-YYR,BIKF-KEF
BIKF-KEF,EHAM-AMS
EHAM-AMS,LCLK-LCA
LCLK-LCA,LLBG-TLV
LLBG-TLV,LIRF-FCO
LIRF-FCO,LPPT-LIS
LPPT-LIS,LPLA-TER
LPLA-TER,TXKF-DBA
TXKF-DBA,KMIA-MIA
KMIA-MIA,MDSD-SDQ
MDSD-SDQ,SVMI-CCS
SVMI-CCS,MNMG-MGA
MNMG-MGA,KMIA-MIA
KMIA-MIA,KIAH-IAH
KIAH-IAH,MMMX-MEX
MMMX-MEX,MPTO-PTY
MPTO-PTY,SBPV-PVH
SBPV-PVH,SBGR-GRU
SBGR-GRU,SBSG-NAT
SBSG-NAT,GVAC-SID
GVAC-SID,LXGB-GIB
LXGB-GIB,LIRF-FCO
LIRF-FCO,EGLL-LHR
EGLL-LHR,BIKF-KEF
CYYR-YYR,KIAD-IAD
KIAD-IAD,KIAH-IAH
KIAH-IAH,KSEA-SEA
KSEA-SEA,PANC-ANC
PANC-ANC,PADK-ADK
PADK-ADK,UHPP-PKC
UHPP-PKC,RJTT-HND
RJTT-HND,RKSI-ICN
RKSI-ICN,RCSS-TSA
RCSS-TSA,RPVM-CEB
RPVM-CEB,AYPY-POM
AYPY-POM,YBCG-OOL
YBCG-OOL,YPDN-DRW
YPDN-DRW,WSSS-SIN
WSSS-SIN,VABB-BOM
VABB-BOM,OMDB-DXB
OMDB-DXB,LROP-OTP
LROP-OTP,LKPR-PRG
LKPR-PRG,EIDW-DUB
EIDW-DUB,BIKF-KEF
BIKF-KEF,BGGH-GOH
BGGH-GOH,KBOS-BOS
KBOS-BOS,TJSJ-SJU
