subfleet,iata,icao,hub_id,airport_id,name,registration,fin,hex_code,selcal,dow,zfw,mtow,mlw,status,simbrief_type
KODI,,KODI,TJSJ,TGPY,"DAHER K100-SERIES",AC-C1405,,6bdfeb64,,,,7255,,A,
AN26F,,AN26,MUHA,MUHA,"ANTONOV AN-26 Freighter",AC-C1801,,605133e7,,,,35274,,A,
AN26F,,AN26,MUHA,MUHA,"ANTONOV AN-26 Freighter",AC-C1802,,df190b8e,,,,35274,,A,
AN26F,,AN26,MUHA,MUHA,"ANTONOV AN-26 Freighter",AC-C1803,,ec870be2,,,,35274,,A,
B74F,,B744,MUHA,MUHA,"BOEING 747-400 FRE",AC-C1804,,d8e5a98f,,,,650363.67,,A,
B74F,,B744,MUHA,MUHA,"BOEING 747-400 FRE",AC-C1805,,ab42a11a,,,,650363.67,,A,
B74F,,B744,TJSJ,TJSJ,"BOEING 747-400 FRE",AC-C1806,,e9c7c725,,,,650364,,A,
B74F,,B744,KPHX,KPHX,"BOEING 747-400 FRE",AC-C1807,,30029a49,,,,650364,,A,
B75F,,B752,MUHA,MUHA,"BOEING 757-200 FRE",AC-C1808,,df8a6680,,,,253531.6,,A,
B75F,,B752,MUHA,MUHA,"BOEING 757-200 FRE",AC-C1809,,77ccb6bf,,,,253531.6,,A,
B75F,,B752,MUHA,MUHA,"BOEING 757-200 FRE",AC-C1810,,7b698630,,,,253531.6,,A,
B76F,,B763,MUHA,MUHA,"BOEING 767-300 FRE",AC-C1811,,38b52181,,,,302033.3,,A,
B76F,,B763,MUHA,MUHA,"BOEING 767-300 FRE",AC-C1812,,db286466,,,,299828.68,,A,
B76F,,B763,MUHA,MUHA,"BOEING 767-300 FRE",AC-C1813,,9f68735d,,,,302033.3,,A,
B76F,,B763,MUHA,MUHA,"BOEING 767-300 FRE",AC-C1814,,e8b12ab9,,,,302033.3,,A,
B77F,,B77L,MUHA,SVMI,"BOEING 777-FREIGHT",AC-C1815,,666d68ae,,,,504858.58,,A,
B77F,,B77L,TJSJ,TJSJ,"BOEING 777-FF2 FRE",AC-C1816,,05851598,,,,496040,,A,
B77F,,B77L,KPHX,KPHX,"BOEING 777-F28 FRE",AC-C1817,,e538af4e,,,,504859,,A,
IL18F,,IL18,MUHA,MUHA,"ILYUSHIN 18 FREIGHTHER",AC-C1819,,b7fe81a4,,,,,,A,1098250_1763433069645
IL18F,,IL18,MUHA,MUHA,"ILYUSHIN 18 FREIGHTHER",AC-C1820,,0f9ac4f1,,,,,,A,1098250_1763433069645
MD1F,,MD11,MUHA,MUHA,"MCDONNELL DOUGLAS",AC-C1821,,41c29d7d,,,,440924.52,,A,
MD1F,,MD11,MUHA,MUHA,"MCDONNELL DOUGLAS",AC-C1822,,b86c3b99,,,,440924.52,,A,
MD1F,,MD11,KPHX,KMIA,"MCDONNELL DOUGLAS",AC-C1823,,e0d7f5bf,,,,440925,,A,
MD1F,,MD11,TJSJ,TJSJ,"MCDONNELL DOUGLAS",AC-C1824,,eb352026,,,,440925,,A,
A321,,A321,MUHA,MUHA,"AIRBUS A321-200",AC-C1825,,2e64a66d,,,,196211,,A,
A310,,A310,MUHA,MUHA,"AIRBUS A310-300 FR",AC-C1827,,39ffc909,,,,308647.17,,A,
A310,,A310,MUHA,MUHA,"AIRBUS A310-300 FR",AC-C1828,,2984b499,,,,308647.17,,A,
A333F,,A333,MUHA,MUHA,"AIRBUS A330-300 Freighter",AC-C1829,,6be2d0b6,,,,,,A,
A333F,,A333,MUHA,MUHA,"AIRBUS A330-300 Freighter",AC-C1830,,,,,,,,A,
B735,,B735,MUHA,MUHA,"BOEING 737-500 FRE",AC-C1831,,c2c9f337,,,,72752.55,,A,
B738F,,B738,TJSJ,TJSJ,"BOEING 737-800 Freighter",AC-C1832,,178d45b7,,,,,,A,
B738F,,B738,TJSJ,TJSJ,"BOEING 737-800 Freighter",AC-C1833,,c1d76b36,,,,,,A,
B738F,,B738,MUHA,TJSJ,"BOEING 737-800 Freighter",AC-C1834,,45194278,,,,,,A,
A310,,A310,MUHA,MUHA,"AIRBUS A310-300 FR",AC-C1835,,d35bc6ac,,,,308647.17,,A,
B735,,B735,MUHA,MUHA,"BOEING 737-500 FRE",AC-C1836,,22b8f70b,,,,72752.55,,A,
B48F,,B748,MUHA,MUHA,"BOEING 747-800 FRE",AC-C1880,,039560da,,,,643749.81,,A,
B48F,,B748,MUHA,MUHA,"BOEING 747-800 FRE",AC-C1881,,753fb370,,,,643749.81,,A,
B48F,,B748,TJSJ,TJSJ,"BOEING 747-800 FRE",AC-C1882,,16fe7b80,,,,,,A,
B48F,,B748,KPHX,KPHX,"BOEING 747-800 FRE",AC-C1883,,f10fef8d,,,,643750,,A,
A30F,,A306,KPHX,KPHX,"AIRBUS A300F4 -600",AC-C1884,,ac0590ff,,,,297624,,A,
A30F,,A306,TJSJ,TJSJ,"AIRBUS A300F4 -600",AC-C1895,,0bcf9345,,,,297624,,A,
E190F,,E190,MUHA,MUPB,"Embraer 190 Freighter",AC-C1896,,889d1cac,,,,,,A,1098250_1749676018149
AT76F,,AT76,MUHA,TJSJ,"ATR 72-600 Freighter",AC-C1897,,cc4c5b1c,,,,,,A,1098250_1749677098517
A124,,A124,TJSJ,TJSJ,"Antonov An-124 Ruslan",AC-C1898,,ccca7f1d,,,,,,A,
A225,,A225,,,"Antonov An-225 Mriya",AC-C1899,,d61bbf99,,,,,,A,
SH33F,,SH33,TJSJ,TJSJ,"Short 330 Freighter",AC-C1900,,f2d3871c,,,,,,A,1098250_1751718297516
SH36F,,SH36,TJSJ,TJSJ,"Short 360 Freighter",AC-C1901,,3c62189d,,,,,,A,1098250_1751718371090
EC45,,EC45,TJSJ,TJSJ,"Airbus H145 Cargo",AC-C1902,,9ff054ec,,,,,,A,
B77F,,B77L,TJSJ,TJSJ,"BOEING 777 FREIGHTER",AC-C1903,,f802ccc8,,,,,,A,
B77F,,B77L,MUHA,MUHA,"BOEING 777 FREIGHTER",AC-C1904,,e821f7b3,,,,,,A,
B77F,,B77L,TJSJ,SKBO,"BOEING 777 FREIGHTER",AC-C1905,,dade73fd,,,,,,A,
AN24F,,AN24,MUHA,MUHA,"Antonov An-24 Freighter",AC-C1906,,45efc8ca,,,,,,A,
B722F,,B722,TJSJ,TJSJ,"Boeing 727-200 Freighter",AC-C1907,,b15de27c,,,,,,A,
R722F,,R722,TJSJ,TJSJ,"Boeing 727-200 Super 27 Freighter",AC-C1908,,3b5423df,,,,,,A,
RJ1HF,,RJ1H,TJSJ,TJSJ,"Avro RJ100 QT",AC-C1909,,d9d44d7a,,,,,,A,
C25C,,C25C,MUHA,MUHA,"CESSNA CITATION CJ",AC-T1501,,0f9f3466,,,,17107.87,,A,
C25C,,C25C,MUHA,TTPP,"CESSNA CITATION CJ",AC-T1502,,4b4c4c43,,,,17107.87,,A,
C25C,,C25C,MUHA,MUHA,"CESSNA CITATION CJ",AC-T1503,,cc85f395,,,,17107.87,,A,
PC12,,PC12,TJSJ,MUHA,"PILATUS PC12",AC-T1505,,8a89c4b8,,,,10450,,A,
PC12,,PC12,MUHA,TDPD,"PILATUS PC-12",AC-T1506,,151c1ac1,,,,10449.91,,A,
